node_id,node_type,name,country,owner,status,capacity_mt_day,demand_mt_day,latitude,longitude
shuangjie_town_jiangcheng_district_china,import_port,"Shuangjie Town, Jiangcheng District ",China,Guangdong Yangjiang Hailingwan LNG Co Ltd [100.00%],operating,14620.79,0.0,,
shuangshui_town_xinhui_district_china,import_port,"Shuangshui Town, Xinhui District",China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,5896.54,0.0,,
donghai_island_zhanjiang_economic_and_technological_development_zone_china,import_port,"Donghai Island, Zhanjiang Economic and Technological Development Zone",China,Guangdong Natural Gas Grid Co Ltd [100.00%],cancelled,0.0,0.0,,
xuwen_county_china,import_port,Xuwen County,China,Guangdong Natural Gas Grid Co Ltd [100.00%],shelved,0.0,0.0,,
zhaoqing_distribution_station_baitu_town_gaoyao_district_china,international_source,"Zhaoqing Distribution Station, Baitu Town, Gaoyao District",China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,3112.67,0.0,,
yunfu_distribution_station_silao_town_yuncheng_district_china,import_port,"Yunfu Distribution Station, Silao Town, Yuncheng District",China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,3112.67,0.0,,
pingwei_village_puqian_town_yuancheng_district_china,international_source,"Pingwei village, Puqian Town, Yuancheng District",China,Guangdong Natural Gas Grid Co Ltd [100.00%],construction,3836.04,0.0,,
reshui_village_xiantang_town_dongyuan_county_china,import_port,"Reshui Village, xiantang Town, Dongyuan county",China,Guangdong Natural Gas Grid Co Ltd [100.00%],construction,3836.04,0.0,,
heyun_longjing_town_china,international_source,"Heyun, Longjing Town",China,Guangdong Natural Gas Grid Co Ltd [100.00%],construction,679.53,0.0,,
shixi_village_jitian_town_lianshan_county_china,import_port,"Shixi Village, Jitian Town, Lianshan County",China,Guangdong Natural Gas Grid Co Ltd [100.00%],construction,679.53,0.0,,
maonan_district_china,international_source,Maonan District,China,Guangdong Natural Gas Grid Co Ltd [100.00%],construction,986.41,0.0,,
xinyi_city_china,import_port,Xinyi City,China,Guangdong Natural Gas Grid Co Ltd [100.00%],construction,986.41,0.0,,
yun_an_district_china,international_source,Yun'an District,China,Guangdong Natural Gas Grid Co Ltd [100.00%],construction,1907.06,0.0,,
luoding_city_china,import_port,Luoding City,China,Guangdong Natural Gas Grid Co Ltd [100.00%],construction,1907.06,0.0,,
jiaoling_pingyuan_china,import_port,"Jiaoling, Pingyuan",China,Guangdong Natural Gas Grid Co Ltd [100.00%],construction,328.8,0.0,,
shejiang_mei_county_china,international_source,"Shejiang, Mei County",China,Guangdong Natural Gas Grid Co Ltd [100.00%],construction,350.72,0.0,,
xingning_city_china,import_port,Xingning City,China,Guangdong Natural Gas Grid Co Ltd [100.00%],construction,350.72,0.0,,
